word,pos,meaning,level_id
a,art.,一（個）,1
A.M.,adv.,上午,1
abandon,noun,盡情、放縱,2
abandon,verb,拋棄、捨棄、中止,2
ability,noun,能力、才能,1
able,adj.,能夠的、有才能的,1
abnormal,adj.,不正常的,2
aboard,prep./adv.,在（交通工具）上,2
about,prep./adv.,大約、關於；大約、幾乎、在周圍,1
above,prep./adv.,在…上面、超過、大於,1
above,adv./adj.,上文、前文；前文述及的、上述的,1
abroad,adv.,在國外、到國外,1
absence,noun,缺席、不在場,2
absent,adj.,缺席的、不在場的、心不在焉的,1
absolute,adj./noun,完全的、絕對的；絕對,2
absorb,verb,吸收、併入,2
abstract,noun,摘要,2
abstract,adj./noun,抽象的,2
abuse,noun/verb,濫用、虐待,2
academic,adj.,學術的、學業的,2
