word,pos,meaning,level_id
fable,noun,寓言,2
face,noun/verb,臉；面對,1
facial,adj.,臉部的,2
facility,noun,設施、設備,2
fact,noun,事實,1
factor,noun,因素,2
factory,noun,工廠,1
fade,verb,變淡、逐漸消失,2
fail,verb,失敗、不及格,1
failure,noun,失敗、故障,1
faint,adj.,微弱的；昏眩的,2
faint,verb/noun,昏倒,2
fair,adj.,公平的,1
fair,noun,市集、商品展覽會、園遊會,1
fairly,adv.,相當地、公正地,2
fairy,noun,仙子、小精靈,2
faith,noun,信心、信仰,2
faithful,adj.,忠誠的、如實的,2
fake,adj./noun/verb,假的、偽造的；假貨；偽造、佯裝,2
fall,verb,跌倒、掉落、下降,1
fall,verb,跌倒、掉落、下降,1
false,adj.,錯誤的、假的,1
fame,noun,名氣,2
familiar,adj.,熟悉的,2
family,noun,家人、家庭,1
famous,adj.,著名的,1
fan,noun,迷、狂熱愛好者；扇,1
fancy,adj.,花俏的、昂貴的、豪華的,1
fantastic,adj.,極好的,1
fantasy,noun,幻想、想像、奇幻文學,2
far,adv./adj.,遠、非常；遠的,1
fare,noun,（交通工具）費,2
farewell,noun/adj.,告別；告別的,2
farm,noun,農場,1
farmer,noun,農夫,1
farming,noun,農業、畜牧業、養殖業,2
fascinate,verb,迷住,2
fashion,noun,流行時尚,1
fashion,verb,塑造成、製作,1
fashionable,adj.,時髦的,1
fast,adj./adv.,快的；快速地,1
fasten,verb,扣緊、使牢固,2
fat,adj./noun,肥胖的；脂肪,1
fatal,adj.,致命的、災難性的,2
fate,noun,命運,2
father,noun,父親,1
faucet,noun,水龍頭,1
fault,noun,過錯、缺點,1
faulty,adj.,有缺陷的,2
favor,verb/noun,支持、偏袒；幫助、恩惠,1
favorable,adj.,贊同的、有利的,2
favorite,adj./noun,最喜愛的；最喜愛的人/物,1
fax,noun/verb,傳真（機）,2
fear,noun/verb,恐懼、害怕,1
feast,noun/verb,盛宴,2
feather,noun,羽毛,2
feature,noun/verb,特色；以…為特色,2
February,noun,二月,1
federal,adj.,聯邦政府的,2
fee,noun,費用,1
feed,verb,餵,1
feedback,noun,回饋,2
feel,verb,感覺,1
feeling,noun,感覺、感情,1
fellow,noun/adj.,夥伴；同類的、同伴的,1
female,adj./noun,女性的；女性,1
fence,noun,籬笆,1
ferry,noun/verb,渡輪；運送,2
fertile,adj.,肥沃的、豐富的；可生育的,2
fertilizer,noun,肥料,2
festival,noun,節慶,1
fetch,verb,拿來、取物、接,2
fetch,noun,（跟狗玩的）丟接遊戲,2
fever,noun,發燒,1
few,pron./adj.,少數的,1
fiction,noun,小說、虛構的事,2
field,noun,田地；運動場；領域,1
fierce,adj.,激烈的、兇猛的,2
fifteen,number/pron./noun/adj.,十五,1
fifty,number/pron./noun/adj.,五十,1
fight,verb/noun,打架、爭吵、抗爭,1
fighter,noun,戰士、打者；戰鬥機,2
figure,noun,數字、圖表,1
figure,verb,認為、計算,1
file,noun,檔案,2
file,verb,把（文件）歸檔；提出（訴訟、申請等）,2
fill,verb,裝滿,1
film,noun,電影,1
final,adj.,最後的,1
final,noun,期末考,1
finance,noun/verb,金融、財政；（提供）資金,2
financial,adj.,財務的、金融的,2
find,verb,找到；感到,1
fine,adj.,很好的,1
fine,verb/noun,處以罰金；罰金,1
finger,noun,手指,1
finish,verb/noun,結束,1
fire,noun,火,1
fire,verb,開火、發射；開除,1
fireplace,noun,壁爐,2
firework,noun,煙火,2
firm,noun,公司,1
firm,adj.,堅固的,1
first,adj./adv./pron.,首先,1
fish,noun/verb,魚；釣魚,1
fisherman,noun,漁民,1
fist,noun/verb,拳頭;握拳、拳打,2
fit,verb,合適,1
